time unit: s, MotorControl:MCA|HeartRateSetPoint, MotorControl:MCA|HeartRateSetPoint[7], MotorControl:MCA|HeartRateSetPoint[6], MotorControl:MCA|HeartRateSetPoint[5], MotorControl:MCA|HeartRateSetPoint[4], MotorControl:MCA|HeartRateSetPoint[3], MotorControl:MCA|HeartRateSetPoint[2], MotorControl:MCA|HeartRateSetPoint[1], MotorControl:MCA|HeartRateSetPoint[0], MotorControl:MCA|HeartRate, MotorControl:MCA|HeartRate[7], MotorControl:MCA|HeartRate[6], MotorControl:MCA|HeartRate[5], MotorControl:MCA|HeartRate[4], MotorControl:MCA|HeartRate[3], MotorControl:MCA|HeartRate[2], MotorControl:MCA|HeartRate[1], MotorControl:MCA|HeartRate[0], MotorControl:MCA|CurrentControl:CC|AssistanceRequirement, MotorControl:MCA|CurrentControl:CC|AssistanceRequirement[11], MotorControl:MCA|CurrentControl:CC|AssistanceRequirement[10], MotorControl:MCA|CurrentControl:CC|AssistanceRequirement[9], MotorControl:MCA|CurrentControl:CC|AssistanceRequirement[8], MotorControl:MCA|CurrentControl:CC|AssistanceRequirement[7], MotorControl:MCA|CurrentControl:CC|AssistanceRequirement[6], MotorControl:MCA|CurrentControl:CC|AssistanceRequirement[5], MotorControl:MCA|CurrentControl:CC|AssistanceRequirement[4], MotorControl:MCA|CurrentControl:CC|AssistanceRequirement[3], MotorControl:MCA|CurrentControl:CC|AssistanceRequirement[2], MotorControl:MCA|CurrentControl:CC|AssistanceRequirement[1], MotorControl:MCA|CurrentControl:CC|AssistanceRequirement[0], MotorControl:MCA|CurrentControl:CC|MotorSignal, MotorControl:MCA|CurrentControl:CC|MotorSignal[11], MotorControl:MCA|CurrentControl:CC|MotorSignal[10], MotorControl:MCA|CurrentControl:CC|MotorSignal[9], MotorControl:MCA|CurrentControl:CC|MotorSignal[8], MotorControl:MCA|CurrentControl:CC|MotorSignal[7], MotorControl:MCA|CurrentControl:CC|MotorSignal[6], MotorControl:MCA|CurrentControl:CC|MotorSignal[5], MotorControl:MCA|CurrentControl:CC|MotorSignal[4], MotorControl:MCA|CurrentControl:CC|MotorSignal[3], MotorControl:MCA|CurrentControl:CC|MotorSignal[2], MotorControl:MCA|CurrentControl:CC|MotorSignal[1], MotorControl:MCA|CurrentControl:CC|MotorSignal[0], MotorControl:MCA|CurrentControl:CC|PhaseWireVoltage, MotorControl:MCA|CurrentControl:CC|PhaseWireVoltage[11], MotorControl:MCA|CurrentControl:CC|PhaseWireVoltage[10], MotorControl:MCA|CurrentControl:CC|PhaseWireVoltage[9], MotorControl:MCA|CurrentControl:CC|PhaseWireVoltage[8], MotorControl:MCA|CurrentControl:CC|PhaseWireVoltage[7], MotorControl:MCA|CurrentControl:CC|PhaseWireVoltage[6], MotorControl:MCA|CurrentControl:CC|PhaseWireVoltage[5], MotorControl:MCA|CurrentControl:CC|PhaseWireVoltage[4], MotorControl:MCA|CurrentControl:CC|PhaseWireVoltage[3], MotorControl:MCA|CurrentControl:CC|PhaseWireVoltage[2], MotorControl:MCA|CurrentControl:CC|PhaseWireVoltage[1], MotorControl:MCA|CurrentControl:CC|PhaseWireVoltage[0], 
0, XX, X, X, X, X, X, X, X, X, XXXXXXXX, X, X, X, X, X, X, X, X, XXXXXXXXXXXX, X, X, X, X, X, X, X, X, X, X, X, X, XXXXXXXXXXXX, X, X, X, X, X, X, X, X, X, X, X, X, XXXXXXXXXXXX, X, X, X, X, X, X, X, X, X, X, X, X, 
638, 50, 0, 1, 0, 1, 0, 0, 0, 0, 01011101, 0, 1, 0, 1, 1, 1, 0, 1, 001000001110, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 010100101010, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 001110110000, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 
639, 50, 0, 1, 0, 1, 0, 0, 0, 0, 01011101, 0, 1, 0, 1, 1, 1, 0, 1, 001000001110, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 001110011001, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 
640, 50, 0, 1, 0, 1, 0, 0, 0, 0, 01011101, 0, 1, 0, 1, 1, 1, 0, 1, 001000001110, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 001110011001, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 
641, 50, 0, 1, 0, 1, 0, 0, 0, 0, 01011101, 0, 1, 0, 1, 1, 1, 0, 1, 001000001110, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 010001000000, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 
642, 50, 0, 1, 0, 1, 0, 0, 0, 0, 01011101, 0, 1, 0, 1, 1, 1, 0, 1, 001000001111, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 010010100110, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 
643, 50, 0, 1, 0, 1, 0, 0, 0, 0, 01011101, 0, 1, 0, 1, 1, 1, 0, 1, 001000010000, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 010010100110, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 
644, 50, 0, 1, 0, 1, 0, 0, 0, 0, 01011101, 0, 1, 0, 1, 1, 1, 0, 1, 001000001111, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 010011101110, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 
645, 50, 0, 1, 0, 1, 0, 0, 0, 0, 01011101, 0, 1, 0, 1, 1, 1, 0, 1, 001000001111, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 010100011011, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 
646, 50, 0, 1, 0, 1, 0, 0, 0, 0, 01011101, 0, 1, 0, 1, 1, 1, 0, 1, 001000001111, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 010100011011, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 
647, 50, 0, 1, 0, 1, 0, 0, 0, 0, 01011101, 0, 1, 0, 1, 1, 1, 0, 1, 001000001111, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 010100010000, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 
648, 50, 0, 1, 0, 1, 0, 0, 0, 0, 01011101, 0, 1, 0, 1, 1, 1, 0, 1, 001000001111, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 010100010000, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 
649, 50, 0, 1, 0, 1, 0, 0, 0, 0, 01011101, 0, 1, 0, 1, 1, 1, 0, 1, 001000001111, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 010100011010, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 
650, 50, 0, 1, 0, 1, 0, 0, 0, 0, 01011101, 0, 1, 0, 1, 1, 1, 0, 1, 001000001111, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 010011011111, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 
651, 50, 0, 1, 0, 1, 0, 0, 0, 0, 01011101, 0, 1, 0, 1, 1, 1, 0, 1, 001000001111, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 010011011111, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 
652, 50, 0, 1, 0, 1, 0, 0, 0, 0, 01011101, 0, 1, 0, 1, 1, 1, 0, 1, 001000001110, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 010010000101, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 
653, 50, 0, 1, 0, 1, 0, 0, 0, 0, 01011101, 0, 1, 0, 1, 1, 1, 0, 1, 001000001110, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 010001010011, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 
654, 50, 0, 1, 0, 1, 0, 0, 0, 0, 01011101, 0, 1, 0, 1, 1, 1, 0, 1, 001000001110, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 010001010011, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 
655, 50, 0, 1, 0, 1, 0, 0, 0, 0, 01011101, 0, 1, 0, 1, 1, 1, 0, 1, 001000001110, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 010000000010, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 
656, 50, 0, 1, 0, 1, 0, 0, 0, 0, 01011101, 0, 1, 0, 1, 1, 1, 0, 1, 001000001110, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 010000000010, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 
657, 50, 0, 1, 0, 1, 0, 0, 0, 0, 01011101, 0, 1, 0, 1, 1, 1, 0, 1, 001000001110, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 001110100011, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1, 
658, 50, 0, 1, 0, 1, 0, 0, 0, 0, 01011101, 0, 1, 0, 1, 1, 1, 0, 1, 001000001110, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 001100110000, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 
659, 50, 0, 1, 0, 1, 0, 0, 0, 0, 01011101, 0, 1, 0, 1, 1, 1, 0, 1, 001000001101, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 001100110000, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 
660, 50, 0, 1, 0, 1, 0, 0, 0, 0, 01011101, 0, 1, 0, 1, 1, 1, 0, 1, 001000001101, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 001011000001, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 
661, 50, 0, 1, 0, 1, 0, 0, 0, 0, 01011101, 0, 1, 0, 1, 1, 1, 0, 1, 001000001101, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 001001011111, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 
662, 50, 0, 1, 0, 1, 0, 0, 0, 0, 01011101, 0, 1, 0, 1, 1, 1, 0, 1, 001000001101, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 001001011111, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 
663, 50, 0, 1, 0, 1, 0, 0, 0, 0, 01011101, 0, 1, 0, 1, 1, 1, 0, 1, 001000001100, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 000000001000, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 001000000110, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 
664, 50, 0, 1, 0, 1, 0, 0, 0, 0, 01011101, 0, 1, 0, 1, 1, 1, 0, 1, 001000001100, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 000000011000, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 001000000110, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 
665, 50, 0, 1, 0, 1, 0, 0, 0, 0, 01011101, 0, 1, 0, 1, 1, 1, 0, 1, 001000001100, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 000100100100, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 000110111110, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 
666, 50, 0, 1, 0, 1, 0, 0, 0, 0, 01011101, 0, 1, 0, 1, 1, 1, 0, 1, 001000001100, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 001010100000, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 000101110100, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 
667, 50, 0, 1, 0, 1, 0, 0, 0, 0, 01011101, 0, 1, 0, 1, 1, 1, 0, 1, 001000001011, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 010011110000, 0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 000101110100, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 
668, 50, 0, 1, 0, 1, 0, 0, 0, 0, 01011101, 0, 1, 0, 1, 1, 1, 0, 1, 001000001011, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 011110111001, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 000101001001, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 
669, 50, 0, 1, 0, 1, 0, 0, 0, 0, 01011101, 0, 1, 0, 1, 1, 1, 0, 1, 001000001011, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 101011000101, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 000100011010, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 
670, 50, 0, 1, 0, 1, 0, 0, 0, 0, 01011101, 0, 1, 0, 1, 1, 1, 0, 1, 001000001011, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 111010000101, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 000100011010, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 
671, 50, 0, 1, 0, 1, 0, 0, 0, 0, 01011101, 0, 1, 0, 1, 1, 1, 0, 1, 001000001011, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 111111111111, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 000011110100, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 0, 
672, 50, 0, 1, 0, 1, 0, 0, 0, 0, 01011101, 0, 1, 0, 1, 1, 1, 0, 1, 001000001011, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 111111111111, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 000011110100, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 0, 
673, 50, 0, 1, 0, 1, 0, 0, 0, 0, 01011101, 0, 1, 0, 1, 1, 1, 0, 1, 001000001011, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 111111111111, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 000011001100, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 
674, 50, 0, 1, 0, 1, 0, 0, 0, 0, 01011101, 0, 1, 0, 1, 1, 1, 0, 1, 001000001011, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 111111111111, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 000010110001, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 
675, 50, 0, 1, 0, 1, 0, 0, 0, 0, 01011101, 0, 1, 0, 1, 1, 1, 0, 1, 001000001011, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 111111111111, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 000010110001, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 
676, 50, 0, 1, 0, 1, 0, 0, 0, 0, 01011101, 0, 1, 0, 1, 1, 1, 0, 1, 001000001011, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 111111111111, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 000010011001, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 
677, 50, 0, 1, 0, 1, 0, 0, 0, 0, 01011101, 0, 1, 0, 1, 1, 1, 0, 1, 001000001011, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 111111111111, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 000010000010, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 
678, 50, 0, 1, 0, 1, 0, 0, 0, 0, 01011101, 0, 1, 0, 1, 1, 1, 0, 1, 001000001100, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 111111111111, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 000010000010, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 
679, 50, 0, 1, 0, 1, 0, 0, 0, 0, 01011101, 0, 1, 0, 1, 1, 1, 0, 1, 001000001100, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 111111111111, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 000001111000, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 
680, 50, 0, 1, 0, 1, 0, 0, 0, 0, 01011101, 0, 1, 0, 1, 1, 1, 0, 1, 001000001100, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 111111111111, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 000001111000, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 
681, 50, 0, 1, 0, 1, 0, 0, 0, 0, 01011101, 0, 1, 0, 1, 1, 1, 0, 1, 001000001100, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 111111111111, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 000001100110, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 
682, 50, 0, 1, 0, 1, 0, 0, 0, 0, 01011101, 0, 1, 0, 1, 1, 1, 0, 1, 001000001101, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 111111111111, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 000001010000, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 
683, 50, 0, 1, 0, 1, 0, 0, 0, 0, 01011101, 0, 1, 0, 1, 1, 1, 0, 1, 001000001101, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 111111111111, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 000001010000, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 
684, 50, 0, 1, 0, 1, 0, 0, 0, 0, 01011101, 0, 1, 0, 1, 1, 1, 0, 1, 001000001100, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 111111111111, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 000001100000, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 
685, 50, 0, 1, 0, 1, 0, 0, 0, 0, 01011101, 0, 1, 0, 1, 1, 1, 0, 1, 001000001100, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 111111111111, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 000010010000, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 
686, 50, 0, 1, 0, 1, 0, 0, 0, 0, 01011101, 0, 1, 0, 1, 1, 1, 0, 1, 001000001100, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 111111111111, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 000010010000, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 
687, 50, 0, 1, 0, 1, 0, 0, 0, 0, 01011101, 0, 1, 0, 1, 1, 1, 0, 1, 001000001101, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 111111111111, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 000010110100, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 
688, 50, 0, 1, 0, 1, 0, 0, 0, 0, 01011101, 0, 1, 0, 1, 1, 1, 0, 1, 001000001101, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 111111111111, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 000010110100, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 
689, 50, 0, 1, 0, 1, 0, 0, 0, 0, 01011101, 0, 1, 0, 1, 1, 1, 0, 1, 001000001101, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 111111111111, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 000011011110, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 
690, 50, 0, 1, 0, 1, 0, 0, 0, 0, 01011101, 0, 1, 0, 1, 1, 1, 0, 1, 001000001110, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 111111111111, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 000100111000, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 
691, 50, 0, 1, 0, 1, 0, 0, 0, 0, 01011101, 0, 1, 0, 1, 1, 1, 0, 1, 001000001101, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 111111111111, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 000100111000, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 
692, 50, 0, 1, 0, 1, 0, 0, 0, 0, 01011101, 0, 1, 0, 1, 1, 1, 0, 1, 001000001101, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 111111111111, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 000110001000, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 
693, 50, 0, 1, 0, 1, 0, 0, 0, 0, 01011101, 0, 1, 0, 1, 1, 1, 0, 1, 001000001110, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 111111111111, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 001000001000, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 
694, 50, 0, 1, 0, 1, 0, 0, 0, 0, 01011101, 0, 1, 0, 1, 1, 1, 0, 1, 001000001110, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 111111111111, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 001000001000, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 
695, 50, 0, 1, 0, 1, 0, 0, 0, 0, 01011101, 0, 1, 0, 1, 1, 1, 0, 1, 001000001110, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 111100011111, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 001010000000, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 
696, 50, 0, 1, 0, 1, 0, 0, 0, 0, 01011101, 0, 1, 0, 1, 1, 1, 0, 1, 001000001110, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 110101011111, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 001010000000, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 
697, 50, 0, 1, 0, 1, 0, 0, 0, 0, 01011101, 0, 1, 0, 1, 1, 1, 0, 1, 001000001110, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 101000010111, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 001011110001, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 
698, 50, 0, 1, 0, 1, 0, 0, 0, 0, 01011101, 0, 1, 0, 1, 1, 1, 0, 1, 001000001110, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 011000100011, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 001101100011, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 
699, 50, 0, 1, 0, 1, 0, 0, 0, 0, 01011101, 0, 1, 0, 1, 1, 1, 0, 1, 001000001101, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 001101100011, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 
700, 50, 0, 1, 0, 1, 0, 0, 0, 0, 01011101, 0, 1, 0, 1, 1, 1, 0, 1, 001000001110, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 001111101101, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 
701, 50, 0, 1, 0, 1, 0, 0, 0, 0, 01011101, 0, 1, 0, 1, 1, 1, 0, 1, 001000001110, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 010001111110, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 
702, 50, 0, 1, 0, 1, 0, 0, 0, 0, 01011101, 0, 1, 0, 1, 1, 1, 0, 1, 001000001110, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 010001111110, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 
